author,month,year
"Qian Lin,Xinran Li,Dongming Huang,Jun S. Liu",February,2021
"John C. Duchi,Feng Ruan",February,2021
"Chengchun Shi,Rui Song,Wenbin Lu",February,2021
"Dong Xia,Ming Yuan,Cun-Hui Zhang",February,2021
"T. Tony Cai,Hongji Wei",February,2021
"Oliver Y. Feng,Adityanand Guntuboyina,Arlene K. H. Kim,Richard J. Samworth",February,2021
"Yinqiu He,Gongjun Xu,Chong Wu,Wei Pan",February,2021
B. J. K. Kleijn,February,2021
"Daren Wang,Yi Yu,Alessandro Rinaldo",February,2021
"Danna Zhang,Wei Biao Wu",February,2021
"Yu Tang,Hongquan Xu",February,2021
"Alexandra Carpentier,Sylvain Delattre,Etienne Roquain,Nicolas Verzelen",February,2021
"Nan Zou,Stanislav Volgushev,Axel Bücher",February,2021
"Andrea Montanari,Ramji Venkataramanan",February,2021
"Alessia Caponera,Domenico Marinucci",February,2021
"Zhigang Bao,Xiucai Ding,and Ke Wang",February,2021
"Gábor Lugosi,Shahar Mendelson",February,2021
"Ilmun Kim,Aaditya Ramdas,Aarti Singh,Larry Wasserman",February,2021
"Yuxin Chen,Chen Cheng,Jianqing Fan",February,2021
"Qiyang Han,Jon A. Wellner",February,2021
"Rina Foygel Barber,Emmanuel J. Candès,Aaditya Ramdas,Ryan J. Tibshirani",February,2021
"Jan Obłój,Johannes Wiesel",February,2021
"Arash A. Amini,Zahra S. Razaee",February,2021
Moshe Pollak,February,2021
Sam Efromovich,February,2021
"Alexander Petersen,Xi Liu,Afshin A. Divani",February,2021
"Eduard Belitser,Subhashis Ghosal,Harry van Zanten",February,2021
"Tobias Fissler,Johanna F. Ziegel",February,2021
"Jianqing Fan,Weichen Wang,Ziwei Zhu",June,2021
"Satyajit Ghosh,Kshitij Khare,George Michailidis",June,2021
"Denis Chetverikov,Zhipeng Liao,Victor Chernozhukov",June,2021
"Miguel del Álamo,Housen Li,Axel Munk",June,2021
"L. Comminges,O. Collier,M. Ndaoud,A. B. Tsybakov",June,2021
"John C. Duchi,Hongseok Namkoong",June,2021
Javier Hidalgo,June,2021
"Steffen Lauritzen,Caroline Uhler,Piotr Zwiernik",June,2021
"Guido Imbens,Konrad Menzel",June,2021
"Zhou Fan,Yi Sun,Zhichao Wang",June,2021
"Karl Gregory,Enno Mammen,Martin Wahl",June,2021
"T. Tony Cai,Linjun Zhang",June,2021
"Zeng Li,Qinwen Wang,Runze Li",June,2021
